Image Name,Raw Endings (Noisy),Raw Bifurcations (Noisy),Spur-Pruned Endings,Spur-Pruned Bifurcations,Final Endings (Clean),Final Bifurcations (Clean)
00002_68.bmp,35,100,11,76,11,9
00002_69.bmp,40,149,4,113,4,20
00002_70.bmp,7,237,0,230,0,15
00002_71.bmp,19,103,3,87,3,16
00002_72.bmp,22,123,6,107,6,18
00002_73.bmp,6,235,0,229,0,15
00002_74.bmp,5,221,0,216,0,19
00002_75.bmp,13,173,0,160,0,12
00002_76.bmp,11,217,0,206,0,13
00002_77.bmp,13,215,2,204,2,15
00002_78.bmp,20,200,1,181,1,16
00002_79.bmp,13,161,3,151,3,21
00003_00.bmp,17,93,3,79,3,13
00003_01.bmp,26,75,7,56,7,7
00003_02.bmp,29,35,17,23,17,8
00003_03.bmp,27,81,9,63,9,6
00003_04.bmp,20,46,7,33,7,6
00003_05.bmp,27,127,3,103,3,7
00003_06.bmp,18,75,6,63,6,17
00003_07.bmp,21,47,7,33,7,8
00003_08.bmp,22,87,6,71,6,10
00003_09.bmp,11,126,0,115,0,16
00003_10.bmp,24,123,8,107,8,17
00003_11.bmp,27,123,11,107,11,16
00003_12.bmp,40,58,20,38,20,13
00003_13.bmp,45,60,16,31,16,5
00003_14.bmp,38,74,20,56,20,8
00003_15.bmp,31,81,11,61,11,10
00003_16.bmp,24,158,7,141,7,17
00003_17.bmp,25,66,10,51,10,8
00003_18.bmp,34,90,11,67,11,19
00003_19.bmp,18,140,5,127,5,14
00003_20.bmp,4,93,0,89,0,11
00003_21.bmp,23,38,9,24,9,5
00003_22.bmp,21,51,8,38,8,11
00003_23.bmp,31,35,18,22,18,3
00003_24.bmp,16,90,3,77,3,18
00003_25.bmp,24,41,16,33,16,7
00003_26.bmp,21,50,8,37,8,6
00003_27.bmp,18,49,6,37,6,9
00003_28.bmp,18,65,6,53,6,13
00003_29.bmp,12,96,2,86,2,12
00003_30.bmp,17,76,4,63,4,16
00003_31.bmp,28,14,25,11,25,4
00003_32.bmp,23,29,15,21,15,10
00003_33.bmp,20,62,5,47,5,4
00003_34.bmp,22,55,7,40,7,15
00003_35.bmp,15,49,5,39,5,9
00003_36.bmp,17,76,3,62,3,9
00003_37.bmp,18,67,7,56,7,6
00003_38.bmp,13,101,1,89,1,7
00003_39.bmp,13,53,5,45,5,15
00003_40.bmp,13,128,1,116,1,16
00003_41.bmp,28,56,9,37,9,12
00003_42.bmp,34,59,16,41,16,14
00003_43.bmp,19,115,2,98,2,23
00003_44.bmp,14,116,2,104,2,17
00003_45.bmp,14,180,1,167,1,16
00003_46.bmp,19,108,5,94,5,15
00003_47.bmp,16,98,5,87,5,16
00003_48.bmp,13,161,3,151,3,18
00003_49.bmp,16,125,4,113,4,17
00003_50.bmp,9,60,3,54,3,8
00003_51.bmp,18,22,12,16,12,5
00003_52.bmp,15,21,12,18,12,4
00003_53.bmp,30,28,20,18,20,6
00003_54.bmp,15,44,9,38,9,9
00003_55.bmp,14,109,2,97,2,13
00003_56.bmp,15,44,9,38,9,9
00003_57.bmp,8,104,1,97,1,12
00003_58.bmp,12,55,5,48,5,8
00003_59.bmp,13,112,2,101,2,13
00003_60.bmp,24,86,9,71,9,12
00003_61.bmp,34,36,18,20,18,7
00003_62.bmp,41,42,23,24,23,7
00003_63.bmp,40,37,19,16,19,5
00003_64.bmp,23,143,7,127,7,15
00003_65.bmp,25,74,13,62,13,9
00003_66.bmp,27,87,7,67,7,19
00003_67.bmp,30,79,12,61,12,7
00003_68.bmp,32,78,12,58,12,11
00003_69.bmp,29,98,8,77,8,12
00003_70.bmp,14,81,2,69,2,12
00003_71.bmp,45,53,16,24,16,10
00003_72.bmp,34,36,16,18,16,5
00003_73.bmp,31,53,12,34,12,10
00003_74.bmp,24,81,7,64,7,13
00003_75.bmp,32,84,11,63,11,16
00003_76.bmp,23,83,3,63,3,19
00003_77.bmp,11,116,1,106,1,11
00003_78.bmp,17,90,3,76,3,17
00003_79.bmp,18,89,5,76,5,11
00004_00.bmp,22,204,3,185,3,11
00004_01.bmp,54,142,6,94,6,14
00004_02.bmp,35,186,6,157,6,15
00004_03.bmp,41,218,1,178,1,11
00004_04.bmp,25,191,0,166,0,20
00004_05.bmp,35,214,3,182,3,9
00004_06.bmp,21,223,1,203,1,13
00004_07.bmp,29,197,3,171,3,15
00004_08.bmp,28,250,3,225,3,13
00004_09.bmp,34,200,0,166,0,13
00004_10.bmp,25,192,0,167,0,16
00004_11.bmp,61,114,8,61,8,17
00004_12.bmp,20,191,1,172,1,14
00004_13.bmp,78,116,14,52,14,8
00004_14.bmp,18,298,0,280,0,11
00004_15.bmp,37,249,1,213,1,18
00004_16.bmp,37,183,0,146,0,19
00004_17.bmp,39,244,1,206,1,9
00004_18.bmp,43,136,3,96,3,14
00004_19.bmp,32,226,0,194,0,22
00004_20.bmp,10,312,0,302,0,16
00004_21.bmp,10,316,0,306,0,6
00004_22.bmp,19,258,3,242,3,11
00004_23.bmp,28,241,0,213,0,17
00004_24.bmp,10,336,0,326,0,6
00004_25.bmp,8,288,0,280,0,10
00004_26.bmp,7,283,0,276,0,9
00004_27.bmp,19,330,0,311,0,8
00004_28.bmp,9,301,0,292,0,11
00004_29.bmp,21,318,0,297,0,9
00004_30.bmp,28,188,0,160,0,19
00004_31.bmp,64,149,10,95,10,20
00004_32.bmp,44,77,8,41,8,8
00004_33.bmp,61,129,8,76,8,14
00004_34.bmp,45,222,2,179,2,15
00004_35.bmp,48,231,5,188,5,18
00004_36.bmp,47,235,3,191,3,16
00004_37.bmp,42,195,3,156,3,19
00004_38.bmp,46,231,4,189,4,14
00004_39.bmp,21,270,0,249,0,15
00004_40.bmp,13,230,0,217,0,26
00004_41.bmp,30,196,0,166,0,13
00004_42.bmp,40,197,2,159,2,21
00004_43.bmp,21,216,0,195,0,15
00004_44.bmp,16,198,1,183,1,7
00004_45.bmp,21,202,1,182,1,14
00004_46.bmp,31,249,2,220,2,12
00004_47.bmp,29,250,1,222,1,20
00004_48.bmp,25,220,1,196,1,16
00004_49.bmp,30,235,3,208,3,15
00004_50.bmp,11,260,0,249,0,13
00004_51.bmp,36,209,0,173,0,16
00004_52.bmp,40,165,3,128,3,12
00004_53.bmp,19,270,0,251,0,16
00004_54.bmp,31,226,0,195,0,17
00004_55.bmp,31,268,0,237,0,14
00004_56.bmp,19,202,1,184,1,12
00004_57.bmp,34,245,2,213,2,14
00004_58.bmp,20,277,1,258,1,14
00004_59.bmp,34,249,0,215,0,17
00004_60.bmp,29,234,1,206,1,14
00004_61.bmp,50,195,8,153,8,11
00004_62.bmp,53,164,5,116,5,16
00004_63.bmp,26,225,4,203,4,12
00004_64.bmp,33,250,2,219,2,15
00004_65.bmp,47,175,6,134,6,13
00004_66.bmp,33,222,2,191,2,20
00004_67.bmp,32,192,2,162,2,11
00004_68.bmp,32,253,0,221,0,11
00004_69.bmp,36,208,3,175,3,14
00004_70.bmp,10,197,2,189,2,6
00004_71.bmp,10,203,2,195,2,15
00004_72.bmp,11,206,2,197,2,11
00004_73.bmp,17,195,1,179,1,15
00004_74.bmp,17,196,0,179,0,9
00004_75.bmp,14,219,1,206,1,9
00004_76.bmp,11,220,0,209,0,15
00004_77.bmp,8,249,2,243,2,13
